49	WI	20	150	GI	30	142	DA	23	117	NO	17	114
50	CH	30	127	ME	5	116	NO	15	111	DW	22	108
184	SW	18	142	DA	15	136	EN	17	131	CH	30	129
185	HA	23	146	AL	25	134	DW	8	125	FA	30	110
186	DA	20	156	ME	30	125	EN	12	119	HA	23	117
187	CH	30	149	AL	14	139	EN	28	136	WI	15	76
188	DA	9	164	CH	29	159	EN	30	130	WI	24	112
191	AL	25	134	GI	30	134	FA	21	133	SW	17	126
201	FA	30	155	SW	15	145	AL	21	143	EN	10	120
206	CU	24	150	ME	30	146	DA	25	142	CH	18	137
106	EN	25	154	DA	26	150	SW	30	148	HA	30	134
107	ME	30	159	GI	25	141	DA	12	131	WI	27	122
108	AL	30	171	ME	26	123	WI	21	105	NO	20	103
109	DW	28	142	SW	29	140	NO	30	131	AL	27	128
110	GI	30	145	ME	19	136	DA	15	104	NO	22	98
111	ME	30	147	DA	13	132	CU	14	109	CH	8	108
112	AL	30	130	ME	17	126	GI	17	119	WI	18	115
113	DA	26	145	HA	30	143	EN	29	142	ME	30	134
114	NO	30	145	SW	13	131	AL	24	113	HA	30	106
115	NO	21	159	WI	29	149	DA	30	121	ME	30	120
116	WI	12	139	DA	15	132	CH	30	131	CU	16	113
117	AL	30	164	CU	30	149	GI	30	148	WI	22	143
118	GI	30	141	NO	27	137	WI	16	133	DA	18	127
119	HA	30	183	WI	18	141	CH	17	128	AL	30	124
120	GI	21	153	ME	30	141	AU	24	136	AL	19	90
121	SW	25	142	FA	30	134	DA	19	127	EN	21	112
122	HA	24	123	DW	17	122	ME	25	120	CH	30	114
123	SW	24	160	GI	26	146	NO	23	140	AU	30	119
124	WI	29	150	FA	30	136	DA	21	102	ME	24	100
192	SW	17	140	CH	30	135	EN	18	133	CU	5	122
207	FA	30	159	ME	30	158	DA	24	154	DW	21	130
125	CU	22	154	ME	14	138	NO	30	121	EN	11	111
193	FA	30	156	ME	30	134	DA	15	128	EN	20	109
197	DW	21	139	NO	30	132	SW	13	119	AL	18	86
202	GI	30	141	DA	7	136	WI	15	135	HA	9	129
208	HA	30	142	GI	23	135	DA	17	128	DW	23	117
154	NO	30	158	SW	30	152	DA	23	127	EN	24	114
155	SW	21	136	GI	23	128	CU	12	123	DW	30	120
156	GI	30	147	WI	16	135	CU	12	121	DA	15	116
157	CU	26	154	EN	20	138	CH	30	114	ME	15	91
158	NO	30	161	WI	30	134	EN	26	119	ME	21	116
159	HA	17	147	CH	30	140	DW	11	120	ME	24	116
1	DA	7	143	HA	11	142	CH	30	134	DW	30	116
34	WI	22	149	DA	11	140	EN	30	128	HA	16	126
35	EN	19	169	CU	18	141	ME	30	126	NO	29	120
36	NO	25	136	DA	8	132	CH	30	122	EN	17	96
37	GI	30	131	CU	12	125	DA	11	123	AU	24	91
38	NO	11	141	SW	10	133	CU	30	126	AL	30	107
39	AL	30	148	EN	18	124	NO	22	122	SW	19	118
40	SW	30	159	FA	30	148	DW	30	144	DA	20	134
2	NO	30	144	ME	20	128	CU	11	121	EN	5	115
3	EN	5	139	FA	30	136	DA	9	127	SW	22	116
4	DW	19	139	CH	30	137	DA	5	125	ME	10	103
5	CH	30	152	NO	24	120	WI	11	113	AL	22	93
6	DA	20	152	SW	30	149	CH	30	113	NO	30	112
183	CH	30	144	EN	18	142	HA	20	142	SW	15	111
